ROW;BASIS;BITVALUE;DET?
9;+;1;Y
11;+;1;Y
17;X;0;Y
25;X;1;Y
27;X;0;Y
32;+;0;Y
34;+;0;Y
36;+;1;Y
37;X;1;Y
40;X;0;Y
51;+;0;Y
52;+;0;Y
57;X;0;Y
59;X;1;Y
60;+;0;Y
69;X;1;Y
71;+;1;Y
83;+;1;Y
94;+;0;Y
100;+;0;Y
102;X;0;Y
105;X;1;Y
111;+;1;Y
126;+;0;Y
129;X;0;Y
133;X;1;Y
134;+;0;Y
141;+;1;Y
142;+;0;Y
145;X;0;Y
150;X;1;Y
151;+;0;Y
159;+;0;Y
160;+;1;Y
166;X;1;Y
169;X;1;Y
181;+;1;Y
183;+;1;Y
185;+;1;Y
189;+;0;Y
196;X;0;Y
202;X;0;Y
212;+;1;Y
214;X;0;Y
218;+;0;Y
220;X;0;Y
228;X;0;Y
243;X;0;Y
245;X;0;Y
246;X;0;Y
248;X;1;Y
250;+;1;Y
254;X;1;Y
255;X;0;Y
259;+;0;Y
260;X;1;Y
267;X;0;Y
268;+;0;Y
269;+;1;Y
274;+;0;Y
276;X;1;Y
277;X;1;Y
279;X;0;Y
283;X;1;Y
285;+;1;Y
292;X;1;Y
294;+;0;Y
298;X;1;Y
307;X;1;Y
311;X;1;Y
312;+;0;Y
316;X;0;Y
317;+;0;Y
320;X;0;Y
323;X;1;Y
326;+;0;Y
328;X;0;Y
329;X;1;Y
337;+;0;Y
347;+;1;Y
357;X;1;Y
360;+;0;Y
366;X;1;Y
369;+;0;Y
380;X;0;Y
383;X;1;Y
394;+;0;Y
395;X;0;Y
397;+;0;Y
409;X;0;Y
411;X;0;Y
419;+;0;Y
422;+;1;Y
425;+;1;Y
432;X;1;Y
439;+;1;Y
440;X;1;Y
441;X;1;Y
447;+;0;Y
455;X;1;Y
457;+;0;Y
459;X;1;Y
461;+;1;Y
462;+;1;Y
463;+;0;Y
469;X;1;Y
471;X;1;Y
472;X;0;Y
490;+;0;Y
499;+;0;Y
501;X;0;Y
503;X;0;Y
513;+;1;Y
518;+;0;Y
541;+;0;Y
543;+;1;Y
544;+;0;Y
562;X;1;Y
575;+;1;Y
580;X;0;Y
585;+;0;Y
586;X;0;Y
588;+;0;Y
593;X;1;Y
613;X;0;Y
617;X;0;Y
625;X;0;Y
632;+;1;Y
656;X;0;Y
659;+;0;Y
660;X;1;Y
667;+;0;Y
673;+;0;Y
676;X;1;Y
682;X;0;Y
684;X;1;Y
685;+;0;Y
702;+;0;Y
705;+;0;Y
707;+;1;Y
713;X;1;Y
715;+;0;Y
719;+;0;Y
720;+;0;Y
723;+;0;Y
724;+;1;Y
727;X;0;Y
731;X;1;Y
733;X;0;Y
738;X;0;Y
744;X;1;Y
745;X;1;Y
747;+;0;Y
753;X;0;Y
754;+;0;Y
761;X;0;Y
764;+;0;Y
776;X;0;Y
777;X;0;Y
780;+;0;Y
782;X;1;Y
784;X;1;Y
788;X;0;Y
792;X;0;Y
